"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"1",1,"1930-07-13","France",4,1,"Mexico","Estadio Pocitos, Montevideo",1930,"Uruguay"
"1",5,"1930-07-15","Argentina",1,0,"France","Estadio Parque Central, Montevideo",1930,"Uruguay"
"1",6,"1930-07-16","Chile",3,0,"Mexico","Estadio Parque Central, Montevideo",1930,"Uruguay"
"1",10,"1930-07-19","Chile",1,0,"France","Estadio Centenario, Montevideo",1930,"Uruguay"
"1",11,"1930-07-19","Argentina",6,3,"Mexico","Estadio Centenario, Montevideo",1930,"Uruguay"
"1",15,"1930-07-22","Argentina",3,1,"Chile","Estadio Centenario, Montevideo",1930,"Uruguay"
"2",3,"1930-07-14","Yugoslavia",2,1,"Brazil","Estadio Parque Central, Montevideo",1930,"Uruguay"
"2",7,"1930-07-17","Yugoslavia",4,0,"Bolivia","Estadio Parque Central, Montevideo",1930,"Uruguay"
"2",12,"1930-07-20","Brazil",4,0,"Bolivia","Estadio Centenario, Montevideo",1930,"Uruguay"
"3",4,"1930-07-14","Romania",3,1,"Peru","Estadio Pocitos, Montevideo",1930,"Uruguay"
"3",9,"1930-07-18","Uruguay",1,0,"Peru","Estadio Centenario, Montevideo",1930,"Uruguay"
"3",14,"1930-07-21","Uruguay",4,0,"Romania","Estadio Centenario, Montevideo",1930,"Uruguay"
"4",2,"1930-07-13","United_States",3,0,"Belgium","Estadio Parque Central, Montevideo",1930,"Uruguay"
"4",8,"1930-07-17","United_States",3,0,"Paraguay","Estadio Parque Central, Montevideo",1930,"Uruguay"
"4",13,"1930-07-20","Paraguay",1,0,"Belgium","Estadio Centenario, Montevideo",1930,"Uruguay"
"Semi-finals",16,"1930-07-26","Argentina",6,1,"United_States","Estadio Centenario, Montevideo",1930,"Uruguay"
"Semi-finals",17,"1930-07-27","Uruguay",6,1,"Yugoslavia","Estadio Centenario, Montevideo",1930,"Uruguay"
"Final",18,"1930-07-30","Uruguay",4,2,"Argentina","Estadio Centenario, Montevideo",1930,"Uruguay"
"Preliminary-round",1,"1934-05-27","Sweden",3,2,"Argentina","Stadio Littoriale, Bologna",1934,"Italy"
"Preliminary-round",2,"1934-05-27","Austria",3,2,"France","Stadio Benito Mussolini, Turin",1934,"Italy"
"Preliminary-round",3,"1934-05-27","Germany",5,2,"Belgium","Stadio Giovanni Berta, Florence",1934,"Italy"
"Preliminary-round",4,"1934-05-27","Spain",3,1,"Brazil","Stadio Luigi Ferraris, Genoa",1934,"Italy"
"Preliminary-round",5,"1934-05-27","Hungary",4,2,"Egypt","Stadio Giorgio Ascarelli, Naples",1934,"Italy"
